id_cliente,tipo_cliente,nombre_apellido,sexo,edad,comuna,email,telefono,rut_sin_dv
1,normal,Germaine Lott,M,48,Antofagasta,curabitur.consequat@protonmail.edu,+56 9 5578 8516,16648113
2,normal,Theodore Palmer,M,34,Santiago,ultrices.posuere@outlook.edu,+56 9 5283 4929,22224885
3,premium,Zelda Morton,H,61,Santiago,gravida@yahoo.edu,+56 9 9495 3742,32605821
4,premium,Charity Boyle,M,61,Santiago,non.dui.nec@icloud.edu,+56 9 5586 7474,38199788
5,normal,Patricia Rivas,M,66,Concepción,non.luctus.sit@protonmail.edu,+56 9 1818 7635,13995588
6,normal,Elliott Landry,H,67,Antofagasta,massa.quisque.porttitor@google.org,+56 9 4580 1598,50563737
7,normal,Shaeleigh Reese,M,43,Santiago,consectetuer@hotmail.ca,+56 9 5751 8868,7779771
8,normal,Jonas Colon,M,47,Antofagasta,id@icloud.net,+56 9 4779 3521,9713170
9,premium,Cathleen Rowe,H,42,Concepción,cum@yahoo.net,+56 9 6285 8753,3896571
10,premium,Brittany Knowles,H,23,Puerto Montt,metus.facilisis.lorem@aol.org,+56 9 7287 9676,12798380
11,normal,Zeus Gaines,M,63,Puerto Montt,dui.in@protonmail.edu,+56 9 7391 1362,23192885
12,normal,Hedda Knowles,H,46,Concepción,enim.nisl.elementum@google.ca,+56 9 3550 7945,47477842
13,normal,Beverly Miles,H,25,Concepción,lorem@yahoo.net,+56 9 6240 4353,30152500
14,normal,Burke Powell,H,49,Santiago,sem.ut@yahoo.org,+56 9 0111 3645,44546812
15,premium,Zachery Foster,H,45,Concepción,est.vitae@hotmail.ca,+56 9 0095 1032,10702683
16,premium,Pearl Petty,M,44,Concepción,libero.mauris@google.org,+56 9 1878 8718,36155745
17,normal,Keegan Rhodes,M,21,Antofagasta,dapibus.ligula@google.edu,+56 9 9262 7417,47439347
18,normal,Quamar Collins,M,61,Antofagasta,at.velit@yahoo.org,+56 9 1161 0259,15836920
19,normal,Leo Guerra,M,38,Santiago,neque@hotmail.com,+56 9 2991 2925,49673896
20,normal,Colleen Bolton,M,64,Santiago,amet.metus@yahoo.couk,+56 9 5288 8871,13226496
21,premium,Hector Bell,M,60,Concepción,auctor@icloud.couk,+56 9 6741 8429,36784890
22,premium,Christine Holmes,H,48,Santiago,a.scelerisque@aol.couk,+56 9 4812 0102,49998108
23,normal,Abigail Pratt,H,74,Puerto Montt,velit.justo@icloud.org,+56 9 5870 2354,2580337
24,normal,Blake Gay,H,65,Santiago,risus.quis@yahoo.couk,+56 9 2656 3799,25130532
25,normal,Burke Simmons,M,61,Concepción,ante.iaculis.nec@aol.net,+56 9 4961 0565,48871398
26,normal,Odessa Butler,H,69,Puerto Montt,massa@outlook.ca,+56 9 1814 5286,39422750
27,premium,Hope Sullivan,H,47,Santiago,turpis.aliquam.adipiscing@protonmail.edu,+56 9 6648 6528,21172489
28,premium,Calista Swanson,H,31,Antofagasta,placerat.velit.quisque@aol.edu,+56 9 8872 2248,36464596
29,normal,Quyn Price,M,28,Antofagasta,enim.nec.tempus@yahoo.couk,+56 9 7883 0261,3927769
30,normal,Slade Norton,M,59,Concepción,adipiscing.non@outlook.ca,+56 9 1618 4813,40659587
31,normal,Dillon Payne,H,48,Antofagasta,volutpat.nulla.facilisis@google.com,+56 9 1254 3308,3492157
32,normal,Asher Alexander,M,50,Puerto Montt,sollicitudin.a@hotmail.com,+56 9 2668 5005,11332665
33,premium,Quinn Bruce,H,60,Puerto Montt,fermentum@icloud.couk,+56 9 8396 2364,38397675
